date,symbol,side,entry_time,entry_price,exit_time,exit_price,qty,gross_pnl,exit_reason,initial_sl,target,peak_price
2025-01-02,TEST_NOCUTOFF,LONG,09:17:00,1000.6,09:18:00,999.89,249,-176.02,TRAILING_SL,997.6,1004.6,1002.9
2025-01-02,TEST_EOD,LONG,14:01:00,1286.0,14:02:00,1286.99,194,191.75,TRAILING_SL,1282.14,1291.14,1290.86
2025-01-02,TEST_NOCUTOFF,LONG,09:17:00,1000.6,09:18:00,999.89,249,-176.02,TRAILING_SL,997.6,1004.6,1002.9
2025-01-02,TEST_EOD,LONG,14:01:00,1286.0,14:02:00,1286.99,194,191.75,TRAILING_SL,1282.14,1291.14,1290.86
2025-01-02,DEMO_NSE,SHORT,09:17:00,2500.72,09:18:00,2504.89,99,-413.05,TRAILING_SL,2508.22,2490.72,2497.4
2025-01-02,DEMO_NSE,SHORT,09:35:00,2493.16,09:36:00,2499.4,100,-623.58,TRAILING_SL,2500.64,2483.19,2491.92
2025-01-02,DEMO_NSE,SHORT,09:53:00,2492.78,09:54:00,2482.81,100,997.11,TARGET_HIT,2500.26,2482.81,2482.35
2025-01-02,DEMO_NSE,LONG,10:11:00,2507.13,10:12:00,2506.36,99,-76.4,TRAILING_SL,2499.61,2517.16,2513.9
2025-01-02,DEMO_NSE,LONG,11:12:00,2525.68,11:13:00,2521.9,98,-370.29,TRAILING_SL,2518.1,2535.78,2529.49
2025-01-02,DEMO_NSE,LONG,11:14:00,2525.63,11:15:00,2524.59,98,-101.58,TRAILING_SL,2518.05,2535.73,2532.19
2025-01-02,DEMO_NSE,SHORT,11:45:00,2521.39,11:46:00,2523.54,99,-212.65,TRAILING_SL,2528.95,2511.3,2515.99
2025-01-02,DEMO_NSE,LONG,12:01:00,2527.57,12:02:00,2537.68,98,990.81,TARGET_HIT,2519.99,2537.68,2539.69
2025-01-02,DEMO_NSE,LONG,12:40:00,2533.27,12:41:00,2529.79,98,-341.26,TRAILING_SL,2525.67,2543.4,2537.4
2025-01-02,DEMO_NSE,LONG,12:44:00,2534.5,12:45:00,2544.64,98,993.52,TARGET_HIT,2526.9,2544.64,2546.9
2025-01-02,DEMO_NSE,SHORT,13:16:00,2527.41,13:18:00,2525.18,98,218.26,TRAILING_SL,2534.99,2517.3,2517.63
2025-01-02,DEMO_NSE,SHORT,09:17:00,2500.72,09:18:00,2504.89,99,-413.05,TRAILING_SL,2508.22,2490.72,2497.4
2025-01-02,DEMO_NSE,SHORT,09:35:00,2493.16,09:36:00,2499.4,100,-623.58,TRAILING_SL,2500.64,2483.19,2491.92
2025-01-02,DEMO_NSE,SHORT,09:53:00,2492.78,09:54:00,2482.81,100,997.11,TARGET_HIT,2500.26,2482.81,2482.35
2025-01-02,DEMO_NSE,LONG,10:11:00,2507.13,10:12:00,2506.36,99,-76.4,TRAILING_SL,2499.61,2517.16,2513.9
2025-01-02,DEMO_NSE,LONG,11:12:00,2525.68,11:13:00,2521.9,98,-370.29,TRAILING_SL,2518.1,2535.78,2529.49
2025-01-02,DEMO_NSE,LONG,11:14:00,2525.63,11:15:00,2524.59,98,-101.58,TRAILING_SL,2518.05,2535.73,2532.19
2025-01-02,DEMO_NSE,SHORT,11:45:00,2521.39,11:46:00,2523.54,99,-212.65,TRAILING_SL,2528.95,2511.3,2515.99
2025-01-02,DEMO_NSE,LONG,12:01:00,2527.57,12:02:00,2537.68,98,990.81,TARGET_HIT,2519.99,2537.68,2539.69
2025-01-02,DEMO_NSE,LONG,12:40:00,2533.27,12:41:00,2529.79,98,-341.26,TRAILING_SL,2525.67,2543.4,2537.4
2025-01-02,DEMO_NSE,LONG,12:44:00,2534.5,12:45:00,2544.64,98,993.52,TARGET_HIT,2526.9,2544.64,2546.9
2025-01-02,DEMO_NSE,SHORT,13:16:00,2527.41,13:18:00,2525.18,98,218.26,TRAILING_SL,2534.99,2517.3,2517.63
2025-01-02,TEST_NOCUTOFF,LONG,09:17:00,1000.6,09:18:00,999.89,249,-176.02,TRAILING_SL,997.6,1004.6,1002.9
2025-01-02,TEST_EOD,LONG,14:01:00,1286.0,14:02:00,1286.99,194,191.75,TRAILING_SL,1282.14,1291.14,1290.86
2025-01-02,TEST_NOCUTOFF,LONG,09:17:00,1000.6,09:21:00,1000.79,249,47.86,TRAILING_SL,997.6,1010.61,1003.8
2025-01-02,TEST_EOD,LONG,14:01:00,1286.0,14:02:00,1286.99,194,191.75,TRAILING_SL,1282.14,1298.86,1290.86
2025-01-02,TEST_NOCUTOFF,LONG,09:17:00,1000.6,09:21:00,1000.79,249,47.86,TRAILING_SL,997.6,1010.61,1003.8
2025-01-02,TEST_EOD,LONG,14:01:00,1286.0,14:02:00,1286.99,194,191.75,TRAILING_SL,1282.14,1298.86,1290.86
2025-01-02,DEMO_NSE,SHORT,09:17:00,2500.72,09:18:00,2508.22,99,-742.71,INITIAL_SL,2508.22,2475.71,2500.72
2025-01-02,DEMO_NSE,SHORT,09:35:00,2493.16,09:37:00,2500.64,100,-747.95,INITIAL_SL,2500.64,2468.23,2493.16
2025-01-02,DEMO_NSE,SHORT,09:53:00,2492.78,09:54:00,2489.8,100,298.3,TRAILING_SL,2500.26,2467.85,2482.35
2025-01-02,DEMO_NSE,LONG,10:11:00,2507.13,10:12:00,2499.61,99,-744.62,INITIAL_SL,2499.61,2532.2,2507.13
2025-01-02,DEMO_NSE,LONG,11:12:00,2525.68,11:16:00,2527.17,98,145.6,TRAILING_SL,2518.1,2550.94,2534.77
2025-01-02,DEMO_NSE,SHORT,11:45:00,2521.39,11:47:00,2528.95,99,-748.85,INITIAL_SL,2528.95,2496.18,2521.39
2025-01-02,DEMO_NSE,LONG,12:01:00,2527.57,12:02:00,2532.07,98,441.09,TRAILING_SL,2519.99,2552.85,2539.69
2025-01-02,DEMO_NSE,LONG,12:40:00,2533.27,12:43:00,2533.27,98,0.0,TRAILING_SL,2525.67,2558.6,2540.89
2025-01-02,DEMO_NSE,LONG,12:44:00,2534.5,12:45:00,2539.26,98,466.41,TRAILING_SL,2526.9,2559.84,2546.9
2025-01-02,DEMO_NSE,SHORT,13:16:00,2527.41,13:18:00,2525.18,98,218.26,TRAILING_SL,2534.99,2502.14,2517.63
2025-01-02,DEMO_NSE,SHORT,09:17:00,2500.72,09:18:00,2508.22,99,-742.71,INITIAL_SL,2508.22,2475.71,2500.72
2025-01-02,DEMO_NSE,SHORT,09:35:00,2493.16,09:37:00,2500.64,100,-747.95,INITIAL_SL,2500.64,2468.23,2493.16
2025-01-02,DEMO_NSE,SHORT,09:53:00,2492.78,09:54:00,2489.8,100,298.3,TRAILING_SL,2500.26,2467.85,2482.35
2025-01-02,DEMO_NSE,LONG,10:11:00,2507.13,10:12:00,2499.61,99,-744.62,INITIAL_SL,2499.61,2532.2,2507.13
2025-01-02,DEMO_NSE,LONG,11:12:00,2525.68,11:16:00,2527.17,98,145.6,TRAILING_SL,2518.1,2550.94,2534.77
2025-01-02,DEMO_NSE,SHORT,11:45:00,2521.39,11:47:00,2528.95,99,-748.85,INITIAL_SL,2528.95,2496.18,2521.39
2025-01-02,DEMO_NSE,LONG,12:01:00,2527.57,12:02:00,2532.07,98,441.09,TRAILING_SL,2519.99,2552.85,2539.69
2025-01-02,DEMO_NSE,LONG,12:40:00,2533.27,12:43:00,2533.27,98,0.0,TRAILING_SL,2525.67,2558.6,2540.89
2025-01-02,DEMO_NSE,LONG,12:44:00,2534.5,12:45:00,2539.26,98,466.41,TRAILING_SL,2526.9,2559.84,2546.9
2025-01-02,DEMO_NSE,SHORT,13:16:00,2527.41,13:18:00,2525.18,98,218.26,TRAILING_SL,2534.99,2502.14,2517.63
2025-01-02,DEMO_NSE,SHORT,09:17:00,2500.72,09:18:00,2508.22,99,-742.71,INITIAL_SL,2508.22,2475.71,2500.72
2025-01-02,DEMO_NSE,SHORT,09:35:00,2493.16,09:37:00,2500.64,100,-747.95,INITIAL_SL,2500.64,2468.23,2493.16
2025-01-02,DEMO_NSE,SHORT,09:53:00,2492.78,09:54:00,2489.8,100,298.3,TRAILING_SL,2500.26,2467.85,2482.35
2025-01-02,DEMO_NSE,LONG,10:11:00,2507.13,10:12:00,2499.61,99,-744.62,INITIAL_SL,2499.61,2532.2,2507.13
2025-01-02,DEMO_NSE,LONG,11:12:00,2525.68,11:16:00,2527.17,98,145.6,TRAILING_SL,2518.1,2550.94,2534.77
2025-01-02,DEMO_NSE,SHORT,11:45:00,2521.39,11:47:00,2528.95,99,-748.85,INITIAL_SL,2528.95,2496.18,2521.39
2025-01-02,DEMO_NSE,LONG,12:01:00,2527.57,12:02:00,2532.07,98,441.09,TRAILING_SL,2519.99,2552.85,2539.69
2025-01-02,DEMO_NSE,LONG,12:40:00,2533.27,12:43:00,2533.27,98,0.0,TRAILING_SL,2525.67,2558.6,2540.89
2025-01-02,DEMO_NSE,LONG,12:44:00,2534.5,12:45:00,2539.26,98,466.41,TRAILING_SL,2526.9,2559.84,2546.9
2025-01-02,DEMO_NSE,SHORT,13:16:00,2527.41,13:18:00,2525.18,98,218.26,TRAILING_SL,2534.99,2502.14,2517.63
2025-01-02,DEMO_NSE,SHORT,09:17:00,2500.72,09:18:00,2508.22,99,-742.71,INITIAL_SL,2508.22,2475.71,2500.72
2025-01-02,DEMO_NSE,SHORT,09:35:00,2493.16,09:37:00,2500.64,100,-747.95,INITIAL_SL,2500.64,2468.23,2493.16
2025-01-02,DEMO_NSE,SHORT,09:53:00,2492.78,09:54:00,2489.8,100,298.3,TRAILING_SL,2500.26,2467.85,2482.35
2025-01-02,DEMO_NSE,LONG,10:11:00,2507.13,10:12:00,2499.61,99,-744.62,INITIAL_SL,2499.61,2532.2,2507.13
2025-01-02,DEMO_NSE,LONG,11:12:00,2525.68,11:16:00,2527.17,98,145.6,TRAILING_SL,2518.1,2550.94,2534.77
2025-01-02,DEMO_NSE,SHORT,11:45:00,2521.39,11:47:00,2528.95,99,-748.85,INITIAL_SL,2528.95,2496.18,2521.39
2025-01-02,DEMO_NSE,LONG,12:01:00,2527.57,12:02:00,2532.07,98,441.09,TRAILING_SL,2519.99,2552.85,2539.69
2025-01-02,DEMO_NSE,LONG,12:40:00,2533.27,12:43:00,2533.27,98,0.0,TRAILING_SL,2525.67,2558.6,2540.89
2025-01-02,DEMO_NSE,LONG,12:44:00,2534.5,12:45:00,2539.26,98,466.41,TRAILING_SL,2526.9,2559.84,2546.9
2025-01-02,DEMO_NSE,SHORT,13:16:00,2527.41,13:18:00,2525.18,98,218.26,TRAILING_SL,2534.99,2502.14,2517.63
2025-01-02,TEST_NOCUTOFF,LONG,09:17:00,1000.6,09:21:00,1000.79,249,47.86,TRAILING_SL,997.6,1010.61,1003.8
2025-01-02,TEST_EOD,LONG,14:01:00,1286.0,14:02:00,1286.99,194,191.75,TRAILING_SL,1282.14,1298.86,1290.86
2025-01-02,TEST_NOCUTOFF,LONG,09:17:00,1000.6,09:21:00,1000.79,249,47.86,TRAILING_SL,997.6,1010.61,1003.8
2025-01-02,TEST_EOD,LONG,14:01:00,1286.0,14:02:00,1286.99,194,191.75,TRAILING_SL,1282.14,1298.86,1290.86
